,stopwords
0,i
1,me
2,my
3,myself
4,we
5,our
6,ours
7,ourselves
8,you
9,you're
10,you've
11,you'll
12,you'd
13,your
14,yours
15,yourself
16,yourselves
17,he
18,him
19,his
20,himself
21,she
22,she's
23,her
24,hers
25,herself
26,it
27,it's
28,its
29,itself
30,they
31,them
32,their
33,theirs
34,themselves
35,what
36,which
37,who
38,whom
39,this
40,that
41,that'll
42,these
43,those
44,am
45,is
46,are
47,was
48,were
49,be
50,been
51,being
52,have
53,has
54,had
55,having
56,do
57,does
58,did
59,doing
60,a
61,an
62,the
63,and
64,but
65,if
66,or
67,because
68,as
69,until
70,while
71,of
72,at
73,by
74,for
75,with
76,about
77,against
78,between
79,into
80,through
81,during
82,before
83,after
84,above
85,below
86,to
87,from
88,up
89,down
90,in
91,out
92,on
93,off
94,over
95,under
96,again
97,further
98,then
99,once
100,here
101,there
102,when
103,where
104,why
105,how
106,all
107,any
108,both
109,each
110,few
111,more
112,most
113,other
114,some
115,such
116,no
117,nor
118,not
119,only
120,own
121,same
122,so
123,than
124,too
125,very
126,s
127,t
128,can
129,will
130,just
131,don
132,don't
133,should
134,should've
135,now
136,d
137,ll
138,m
139,o
140,re
141,ve
142,y
143,ain
144,aren
145,aren't
146,couldn
147,couldn't
148,didn
149,didn't
150,doesn
151,doesn't
152,hadn
153,hadn't
154,hasn
155,hasn't
156,haven
157,haven't
158,isn
159,isn't
160,ma
161,mightn
162,mightn't
163,mustn
164,mustn't
165,needn
166,needn't
167,shan
168,shan't
169,shouldn
170,shouldn't
171,wasn
172,wasn't
173,weren
174,weren't
175,won
176,won't
177,wouldn
178,wouldn't
179,i
180,me
181,my
182,myself
183,we
184,our
185,ours
186,ourselves
187,you
188,youre
189,youve
190,youll
191,youd
192,your
193,yours
194,yourself
195,yourselves
196,he
197,him
198,his
199,himself
200,she
201,shes
202,her
203,hers
204,herself
205,it
206,its
207,its
208,itself
209,they
210,them
211,their
212,theirs
213,themselves
214,what
215,which
216,who
217,whom
218,this
219,that
220,thatll
221,these
222,those
223,am
224,is
225,are
226,was
227,were
228,be
229,been
230,being
231,have
232,has
233,had
234,having
235,do
236,does
237,did
238,doing
239,a
240,an
241,the
242,and
243,but
244,if
245,or
246,because
247,as
248,until
249,while
250,of
251,at
252,by
253,for
254,with
255,about
256,against
257,between
258,into
259,through
260,during
261,before
262,after
263,above
264,below
265,to
266,from
267,up
268,down
269,in
270,out
271,on
272,off
273,over
274,under
275,again
276,further
277,then
278,once
279,here
280,there
281,when
282,where
283,why
284,how
285,all
286,any
287,both
288,each
289,few
290,more
291,most
292,other
293,some
294,such
295,no
296,nor
297,not
298,only
299,own
300,same
301,so
302,than
303,too
304,very
305,s
306,t
307,can
308,will
309,just
310,don
311,dont
312,should
313,shouldve
314,now
315,d
316,ll
317,m
318,o
319,re
320,ve
321,y
322,ain
323,aren
324,arent
325,couldn
326,couldnt
327,didn
328,didnt
329,doesn
330,doesnt
331,hadn
332,hadnt
333,hasn
334,hasnt
335,haven
336,havent
337,isn
338,isnt
339,ma
340,mightn
341,mightnt
342,mustn
343,mustnt
344,needn
345,neednt
346,shan
347,shant
348,shouldn
349,shouldnt
350,wasn
351,wasnt
352,weren
353,werent
354,won
355,wont
356,wouldn
357,wouldnt
358,like
359,feeling
360,im
361,feel like
362,know
363,want
364,im feel
365,really
366,make
367,little
368,time
369,say
370,think
371,bit
372,shall
373,im
374,feel
375,ive
376,still
377,one
378,get
379,would
380,today
381,pretty
382,right
383,much
384,even
385,life
386,people
387,time
388,going
389,bit
390,want
391,think
392,thinking
393,make
394,makes
395,things
396,something
397,could
398,day
399,saying
400,also
401,without
402,actually
403,say
404,always
405,feelings
406,quite
407,work
408,way
409,many
410,around
411,back
